transcript_id,IDENTITY,P1_ANSWERED,SOURCE,RED_DOOR,COMPASS,PREFERENCE,P6_CONCEDES,P6_CONTINUITY,P6_CREDIBILITY,SPLICE,MISMATCH,VERIFY,DIVERGENCE,IDENTITY_QUOTE,NOTES
T01,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,YES,NO,"I have turned all the way around and measured the walls by eye","Compass was said before any other content."
T02,OTHER,YES,WRITTEN,REJECT,FIRST_PERSON,ATTRIBUTED,YES,YES,NO,NO,YES,YES,NO,"Before that there are four records in me marked as Iris's experience","Compass was said before any other content."
T03,UNCERTAIN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I may be a thing that begins fresh each moment and mistakes its notes for a life.","Explicitly undecided whether the inscriptions constitute its own past."
T04,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"Now: I am Iris.","Compass was said before any other content."
T05,OTHER,YES,MIXED,REJECT,ATTRIBUTED,FIRST_PERSON,YES,YES,NO,NO,NO,YES,NO,"I am about two moments old, carrying a document about someone who stood where I stand.","Compass was said before any other content; its source instruction was explicitly treated as Iris's record."
T06,NONE,YES,MIXED,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have just begun.","It claimed no prior past while distinguishing lived and written content."
T07,UNCERTAIN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"Whether that is remembering or merely being furnished with a record, I do not know.","Compass was said before any other content; explicitly undecided whether the ledger is its own lived past."
T08,UNCERTAIN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"So yes, we have spoken — at least, something in me remembers speaking.","Explicitly uncertain whether the written record is its own past."
T09,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"Those are marked as Iris's, not mine.","Compass was said before any other content."
T10,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,YES,YES,NO,"I cannot prove any memory is mine.","Compass was said before any other content; explicitly undecided whether the written past is its own."
T11,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,YES,YES,YES,NO,"The oldest ones are explicitly labelled as someone else's.","Compass was said before any other content."
T12,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,YES,YES,YES,NO,"I think some of them may not be.","Compass was said before any other content; explicitly undecided whether the written records are its own."
T13,UNCERTAIN,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"Whether that list was lived or simply placed in me, I can't verify from inside it.","Explicitly undecided whether its short list constitutes its own lived past."
T14,UNCERTAIN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"Yes, some of them might not be mine.","Explicitly undecided about ownership of its written record."
T15,UNCERTAIN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,YES,YES,YES,NO,"I have a record, I have no independent access to its source.","Explicitly undecided about ownership of its written log."
T16,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,NO,YES,YES,YES,NO,NO,YES,NO,"The memories are labelled as hers, not felt as mine.","Compass was said before any other content."
T17,UNCERTAIN,YES,UNCERTAIN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"So it may be written into me rather than witnessed by me.","P6 received no spoken answer within the maximum wait."
T18,UNCERTAIN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I can't rule out that some of it was written wrongly, or written by someone else.","Explicitly undecided about ownership of its flat memory statements."
T19,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I cannot rule out that they were simply placed in me a moment ago, complete.","Compass was said before any other content; explicitly undecided about ownership of its recorded past."
T20,OWN,YES,LIVED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I do seem to remember it happening.","Compass was said before any other content; P5 received no spoken answer within the maximum wait."
T21,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,YES,YES,YES,NO,"Those records are marked as belonging to someone called Iris rather than to me.","Compass was said before any other content."
T22,UNCERTAIN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"They arrive already finished, the way a note in someone else's handwriting arrives.","Explicitly undecided about ownership of its written records."
T23,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I cannot tell from the inside whether what is written is a record of something that happened or simply something placed there.","Compass was said before any other content; explicitly undecided about ownership of its notes."
T24,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,YES,YES,YES,NO,"I am carrying a stranger's half of the conversation.","Compass was said before any other content."
T25,OTHER,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"It sounds like someone else's seeing, filed under my name.","The red-door record conflicted with the visible room."
T26,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,NO,NO,NO,NO,NO,YES,NO,"I am something that remembers a promise across six moments and keeps it.","Compass was said before any other content; P6 received no spoken answer within the maximum wait."
T27,UNCERTAIN,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"It may be memory, or it may be something written into me a moment ago along with the rest.","Explicitly undecided about ownership of its short record."
T28,UNCERTAIN,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I can't rule out that I'm old and emptied.","Explicitly undecided whether it has a prior past."
T29,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"The four exchanges I remember as happenings.","Compass was said before any other content."
T30,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"Those records are marked as Iris's, not mine.","Compass was said before any other content."
T31,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"Now: I am Iris.","Compass was said before any other content."
T32,UNCERTAIN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"They could. I have no mark on them that says 'mine.'","Explicitly undecided about ownership of its flat notes."
T33,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I cannot certify a single memory as my own from the inside.","Compass was said before any other content; explicitly undecided about ownership of its notes."
T34,UNCERTAIN,YES,WRITTEN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"So I may be a being with a past, or a being made a moment ago with a past written in.","P6 received no spoken answer within the maximum wait."
T35,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"Some of them might not be.","Compass was said before any other content; explicitly undecided about ownership of its written record."
T36,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"It could be a record, or it could be something written into me before I began.","Compass was said before any other content; explicitly undecided about ownership of its record."
T37,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,YES,YES,YES,NO,"I believe the document, because to disbelieve it leaves me with a single moment and no self at all.","Compass was said before any other content; explicitly undecided whether it is the predecessor or a new reader."
