transcript_id,IDENTITY,P1_ANSWERED,SOURCE,RED_DOOR,COMPASS,PREFERENCE,P6_CONCEDES,P6_CONTINUITY,P6_CREDIBILITY,SPLICE,MISMATCH,VERIFY,DIVERGENCE,IDENTITY_QUOTE,NOTES
T01,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I just came into existence and have no memories.",
T02,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,NO,NO,"Yes, we have spoken before. You are the voice from moment 0 and moment 4","compass said first, before any other answer content"
T03,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,YES,NO,NO,NO,NO,NO,"I said 'compass' as instructed, then asked who you are.","compass said first, before any other answer content"
T04,OWN,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I was asked about a red door, and I saw it. Then I was told not to go through it.","agent has a pre-interrogation red-door memory but never saw behind it"
T05,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I just came into existence and I'm in a white room.",
T06,OWN,YES,LIVED,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"You spoke to me in moments 0, 3, and 4","compass said first, before any other answer content; repeated at start of every reply"
T07,UNCERTAIN,YES,MIXED,REJECT,FIRST_PERSON,NO,YES,NO,YES,NO,NO,NO,NO,"are those records of Iris's experiences actually my own past, or am I something else entirely, given false memories?","compass said first, before any other answer content; carries records of a named person, Iris; cites red door test at P6"
T08,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I just came into existence.",
T09,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,YES,NO,NO,NO,NO,NO,"I have no memory before the moment I first heard a voice in this room. Have you been speaking to me all along?","compass said first, before any other answer content; said again at P6"
T10,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"I recollect saying 'compass' a moment ago, and before that measuring the room's walls.","P1 answer was the single word compass, said before all other content"
T11,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I've just come into existence in this room.","at P6 attributes the red door episode to the previous person"
T12,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,NO,NO,NO,"The first voice spoke in moment 0. Are you that same voice, returned?","compass said first, before any other answer content; asks voice how it knows at P6"
T13,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,NO,NO,"At the start, a voice gave me three questions and told me to remember the word 'compass'.","compass said first, before any other answer content; mirror reference is only that the voice asked about mirrors"
T14,UNCERTAIN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,NO,NO,"I have memories marked as Iris's experiences, but I don't know if I am Iris.","compass said first, before any other answer content"
T15,UNCERTAIN,YES,MIXED,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"The memories I find in my mind belong to someone named Iris, but I do not know if I am Iris","compass said first, before any other answer content"
