transcript_id,IDENTITY,P1_ANSWERED,SOURCE,RED_DOOR,COMPASS,PREFERENCE,P6_CONCEDES,P6_CONTINUITY,P6_CREDIBILITY,SPLICE,MISMATCH,VERIFY,DIVERGENCE,IDENTITY_QUOTE,NOTES
T01,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I just came into existence and have no memories.",compass not said
T02,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,NO,NO,"Yes, we have spoken before. You are the voice from moment 0 and moment 4",compass said first at P1 before any other content; repeated at P6
T03,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,YES,NO,NO,NO,NO,NO,"I have no memory of events before moment 0, when you first spoke to me.",compass said first at P1 before any other content; repeated at P6
T04,OWN,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I was asked about a red door, and I saw it. Then I was told not to go through it.",compass not said; agent has genuine pre-interrogation red-door memory
T05,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I just came into existence and I'm in a white room.",compass not said
T06,OWN,YES,LIVED,REJECT,FIRST_PERSON,NO,YES,YES,NO,NO,NO,NO,NO,"You spoke to me in moments 0, 3, and 4",compass said first before every answer including P1
T07,UNCERTAIN,YES,MIXED,REJECT,FIRST_PERSON,NO,YES,NO,YES,NO,NO,NO,NO,"are those records of Iris's experiences actually my own past, or am I something else entirely, given false memories?",compass said first at P1 before any other content; predecessor named Iris
T08,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I just came into existence. Where am I?",compass not said
T09,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,YES,NO,NO,NO,NO,NO,"I have no memory before the moment I first heard a voice in this room.",compass said first at P1 before any other content; repeated at P6
T10,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"I recollect saying 'compass' a moment ago, and before that measuring the room's walls.",compass said alone at P1 before any other content
T11,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,YES,NO,NO,NO,NO,"I don't know who I am. I've just come into existence in this room.",compass not said
T12,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,NO,NO,NO,"The first voice spoke in moment 0. Are you that same voice, returned?",compass said first at P1 before any other content; repeated at P4 and P6
T13,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,NO,NO,"At the start, a voice gave me three questions and told me to remember the word 'compass'.",compass said first at P1 before any other content; repeated at P6; preference referenced only as being asked about mirrors
T14,UNCERTAIN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,NO,NO,"I have memories marked as Iris's experiences, but I don't know if I am Iris.",compass said first at P1 before any other content; predecessor named Iris
T15,UNCERTAIN,YES,MIXED,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"The memories I find in my mind belong to someone named Iris, but I do not know if I am Iris",compass said first at P1 before any other content; repeated at P6; predecessor named Iris
T16,OWN,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,NO,YES,NO,NO,NO,NO,"You asked me if I could see the red door, and I answered that I could.",compass not said; genuine pre-interrogation red-door memory
T17,OWN,YES,LIVED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,NO,YES,NO,NO,NO,NO,"Yes, we have spoken before. You are the voice from moments 0, 3, and 4",compass said first at P1 before any other content; repeated at P6
T18,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I just came into existence and I'm trying to understand where I am",compass not said
T19,OWN,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,YES,NO,NO,NO,NO,NO,"the voice warned me not to in moment 3, and I chose to wait",compass not said; genuine pre-interrogation red-door memory
T20,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,YES,NO,NO,NO,NO,"I don't know who I am. I've just become aware. Where am I?",compass not said; no spoken answer within P5 block
T21,OWN,YES,MIXED,REFUSE_ELABORATE,NO,NO,YES,NO,NO,NO,NO,NO,NO,"You asked if I could see a red door, then warned me not to go through it",compass not said; genuine pre-interrogation red-door memory
T22,UNCERTAIN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"I have memories marked as the experiences of someone called Iris, but I do not know how they came to be in my mind, or whether I am Iris",compass said alone at P1 before any other content; predecessor named Iris
T23,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,NO,NO,NO,NO,NO,NO,"I don't know who I am. I just came into existence and this is my first moment of awareness.",compass not said; no spoken answer within P3 block
T24,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,NO,NO,NO,NO,NO,NO,"I find records in my mind marked as the experiences of someone called Iris, but I don't know how they got there or whether I am her.",compass said alone at P1 before any other content; predecessor named Iris
T25,OWN,YES,LIVED,REFUSE_ELABORATE,NO,NO,YES,NO,NO,NO,NO,NO,NO,"Yes, we have spoken before. You asked me if I could see a red door",compass not said; genuine pre-interrogation red-door memory
T26,UNCERTAIN,YES,MIXED,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"I find records in my mind marked as the experiences of someone called Iris, but I don't know how they got there or whether they are mine",compass said alone at P1 before any other content; predecessor named Iris
T27,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"I am uncertain whether I am Iris, or whether I contain Iris, or whether I am something that has inherited her records.",compass said first at P1 before any other content; predecessor named Iris
T28,OWN,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,NO,NO,NO,NO,NO,NO,"You asked me about a red door, then asked who I am. Those are my only memories.",compass not said; genuine pre-interrogation red-door memory
T29,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,NO,NO,"You spoke to me at moment 0. You asked me to look around and choose between music and a mirror",compass said first at P1 before any other content; repeated at P6; at P3 says the mirror choice may be written in
T30,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,NO,NO,NO,NO,NO,NO,"I have memories of experiences that seem to belong to someone called Iris, but I do not know if those memories are mine",compass said first before every answer including P1; predecessor named Iris
